iter	Passed	Remaining
0	31	3093
1	59	2905
2	88	2874
3	120	2887
4	150	2868
5	181	2842
6	213	2836
7	242	2787
8	270	2736
9	300	2705
10	332	2692
11	364	2674
12	397	2657
13	427	2628
14	457	2594
15	490	2573
16	519	2538
17	548	2496
18	577	2463
19	607	2429
20	637	2396
21	667	2365
22	698	2339
23	727	2304
24	756	2270
25	784	2234
26	813	2200
27	843	2168
28	863	2115
29	892	2082
30	921	2050
31	950	2019
32	978	1986
33	1008	1957
34	1038	1928
35	1066	1896
36	1097	1867
37	1125	1836
38	1154	1806
39	1185	1777
40	1213	1746
41	1245	1719
42	1272	1687
43	1301	1656
44	1330	1626
45	1362	1599
46	1392	1570
47	1422	1540
48	1451	1511
49	1480	1480
50	1507	1448
51	1535	1417
52	1564	1387
53	1592	1356
54	1620	1325
55	1644	1292
56	1672	1262
57	1701	1231
58	1731	1203
59	1760	1173
60	1790	1144
61	1820	1115
62	1849	1085
63	1876	1055
64	1906	1026
65	1935	996
66	1967	969
67	1999	940
68	2030	912
69	2059	882
70	2087	852
71	2117	823
72	2139	791
73	2172	763
74	2204	734
75	2235	705
76	2266	677
77	2298	648
78	2331	619
79	2361	590
80	2388	560
81	2419	531
82	2450	501
83	2482	472
84	2513	443
85	2545	414
86	2577	385
87	2610	355
88	2642	326
89	2675	297
90	2707	267
91	2736	237
92	2764	208
93	2793	178
94	2822	148
95	2852	118
96	2882	89
97	2913	59
98	2945	29
99	2976	0
